qid,method,retrieved_doc_ids,relevant_doc_ids,hit,reciprocal_rank,recall_at_k,ndcg_at_k,context_precision,faithfulness,latency_ms,latency_breakdown
q01,bm25,"['git-branching', 'python-venv', 'git-remotes', 'fastapi-async', 'git-tags', 'pytest-fixtures', 'rest-http-methods', 'git-stash']",['git-branching'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.206,"{'bm25': 0.206, 'total_ms': 0.206}"
q02,bm25,"['git-branching', 'git-remotes', 'git-tags', 'numpy-dtypes', 'sql-joins', 'reranking-crossencoder']",['git-branching'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.112,"{'bm25': 0.112, 'total_ms': 0.112}"
q03,bm25,"['git-branching', 'git-remotes', 'git-tags', 'git-reset-revert', 'sql-indexes', 'dockerfile-best-practices', 'numpy-dtypes', 'bm25-explained', 'rest-http-methods']",['git-branching'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.145,"{'bm25': 0.145, 'total_ms': 0.145}"
q04,bm25,"['git-reset-revert', 'embeddings-similarity', 'git-branching', 'numpy-dtypes', 'docker-images-containers', 'sql-joins', 'git-remotes']",['git-reset-revert'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.158,"{'bm25': 0.158, 'total_ms': 0.158}"
q05,bm25,"['git-reset-revert', 'git-branching', 'sql-transactions', 'fastapi-async', 'git-remotes', 'pytest-mocking', 'docker-images-containers', 'git-tags', 'http-caching', 'numpy-dtypes']",['git-reset-revert'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.164,"{'bm25': 0.164, 'total_ms': 0.164}"
q06,bm25,"['git-stash', 'git-branching', 'embeddings-similarity', 'git-remotes', 'git-reset-revert']",['git-stash'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.166,"{'bm25': 0.166, 'total_ms': 0.166}"
q07,bm25,"['git-stash', 'fastapi-async', 'http-caching', 'dockerfile-best-practices', 'sql-transactions', 'python-venv', 'pandas-missing-data', 'git-branching']",['git-stash'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.09,"{'bm25': 0.09, 'total_ms': 0.09}"
q08,bm25,"['docker-images-containers', 'docker-volumes', 'docker-compose', 'numpy-dtypes', 'embeddings-similarity', 'sql-joins']",['docker-images-containers'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.155,"{'bm25': 0.155, 'total_ms': 0.155}"
q09,bm25,"['dockerfile-best-practices', 'numpy-views-copies', 'git-branching', 'rest-http-methods', 'python-venv', 'sql-transactions', 'git-remotes', 'sql-joins']",['dockerfile-best-practices'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.191,"{'bm25': 0.191, 'total_ms': 0.191}"
q10,bm25,"['docker-compose', 'python-venv', 'sql-transactions', 'docker-images-containers', 'embeddings-similarity', 'numpy-broadcasting']",['docker-compose'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.136,"{'bm25': 0.136, 'total_ms': 0.136}"
q11,bm25,"['fastapi-basics', 'bm25-explained', 'pytest-mocking', 'pandas-merge-join', 'fastapi-security', 'fastapi-async', 'docker-volumes', 'pip-vs-conda']",['fastapi-basics'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.116,"{'bm25': 0.116, 'total_ms': 0.116}"
q12,bm25,"['fastapi-basics', 'http-status-codes', 'fastapi-security', 'dockerfile-best-practices', 'fastapi-async', 'docker-volumes']",['fastapi-basics'],True,1.0,"{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}","{1: 1.0, 3: 1.0, 5: 1.0, 10: 1.0}",0.2,1.0,0.138,"{'bm25': 0.138, 'total_ms': 0.138}"
